rid,type_ft,fz_layers,arch,datasets,status,comment
000,FD.00.05.V0.B00,Conv1-Activations,TCNv1,"[""maracatu""]",completed,published_results
001,FD.00.05.V0.B00,Conv2-Activations,TCNv1,"[""maracatu""]",completed,published_results
002,FD.00.05.V0.B00,Conv3-Activations,TCNv1,"[""maracatu""]",completed,published_results
003,FD.00.05.V0.B00,Tcn1-Activations,TCNv1,"[""maracatu""]",completed,published_results
004,FD.00.05.V0.B00,Tcn2-Activations,TCNv1,"[""maracatu""]",completed,published_results
005,FD.00.05.V0.B00,Tcn4-Activations,TCNv1,"[""maracatu""]",completed,published_results
006,FD.00.05.V0.B00,Tcn8-Activations,TCNv1,"[""maracatu""]",completed,published_results
007,FD.00.05.V0.B00,Tcn16-Activations,TCNv1,"[""maracatu""]",completed,published_results
008,FD.00.05.V0.B00,Tcn32-Activations,TCNv1,"[""maracatu""]",completed,published_results
009,FD.00.05.V0.B00,Tcn64-Activations,TCNv1,"[""maracatu""]",completed,published_results
010,FD.00.05.V0.B00,Tcn128-Activations,TCNv1,"[""maracatu""]",completed,published_results
011,FD.00.05.V0.B00,Tcn256-Activations,TCNv1,"[""maracatu""]",completed,published_results
012,FD.00.05.V0.B00,Tcn512-Activations,TCNv1,"[""maracatu""]",completed,published_results
013,FD.00.05.V0.B00,Tcn1024-Activations,TCNv1,"[""maracatu""]",completed,published_results
014,FD.00.05.V0.B00,None-Activations,TCNv1,"[""maracatu""]",completed,published_results
020,FD.00.05.V0.B00,Conv1-Activations,TCNv2,"[""maracatu""]",completed,published_results
021,FD.00.05.V0.B00,Conv2-Activations,TCNv2,"[""maracatu""]",completed,published_results
022,FD.00.05.V0.B00,Conv3-Activations,TCNv2,"[""maracatu""]",completed,published_results
023,FD.00.05.V0.B00,Tcn1-Activations,TCNv2,"[""maracatu""]",completed,published_results
024,FD.00.05.V0.B00,Tcn2-Activations,TCNv2,"[""maracatu""]",completed,published_results
025,FD.00.05.V0.B00,Tcn4-Activations,TCNv2,"[""maracatu""]",completed,published_results
026,FD.00.05.V0.B00,Tcn8-Activations,TCNv2,"[""maracatu""]",completed,published_results
027,FD.00.05.V0.B00,Tcn16-Activations,TCNv2,"[""maracatu""]",completed,published_results
028,FD.00.05.V0.B00,Tcn32-Activations,TCNv2,"[""maracatu""]",completed,published_results
029,FD.00.05.V0.B00,Tcn64-Activations,TCNv2,"[""maracatu""]",completed,published_results
030,FD.00.05.V0.B00,Tcn128-Activations,TCNv2,"[""maracatu""]",completed,published_results
031,FD.00.05.V0.B00,Tcn256-Activations,TCNv2,"[""maracatu""]",completed,published_results
032,FD.00.05.V0.B00,Tcn512-Activations,TCNv2,"[""maracatu""]",completed,published_results
033,FD.00.05.V0.B00,Tcn1024-Activations,TCNv2,"[""maracatu""]",completed,published_results
034,FD.00.05.V0.B00,None-Activations,TCNv2,"[""maracatu""]",completed,published_results